Ward_No,party,total_votes_in_ward,total_votes_cast,name,caste,total_votes_per_person,rejected,nota
1,none,288,216,MASEEDU SHYAMALA,SC,99,0,0
1,con,288,216,PODETI RAJENDHAR,SC,117,5,6
2,none,256,209,PADALA RUPA,BC,52,0,0
2,none,256,209,VANNELA ANJALI,BC,64,0,0
2,con,256,209,MILKURI RAMA,BC,93,8,0
3,con,252,167,DHARNENI SURESH,UR,67,0,0
3,none,252,167,BHUTHAM GANGARAJAM,UR,14,0,0
3,trs,252,167,GOSANGARI SHYAM SUNDER,UR,86,7,0
4,none,296,209,KOTHAPELLI RAJITHA,UR,69,0,0
4,con,296,209,MD SHARIFA BEGUM,UR,125,0,0
4,trs,296,209,KONDRA LAXMI,UR,15,3,3
5,trs,272,184,KALLEDA VAMSHI KRISHNA,UR,61,0,0
5,con,272,184,SAYYAD FAROOQI,UR,123,4,1
6,none,295,206,MOHAMMA JAREENA SULTHANA,UR,58,0,0
6,none,295,206,POLASA SAGARIKA,UR,36,0,0
6,none,295,206,RAMSA JABEEN,UR,112,8,1
7,con,262,181,REGUNTA LAXMI,SC,86,0,0
7,trs,262,181,BONAGIRI JAMUNA,SC,30,0,0
7,none,262,181,BONAGIRI GANGAJALA,SC,65,10,9
8,none,276,209,MD ABDUL JAVID,UR,29,0,0
8,con,276,209,MA BAKHEE,UR,128,0,0
8,none,276,209,NALLALA RAJU,UR,52,7,1
9,con,277,211,MD THJMUL AHMAD,BC,59,0,0
9,trs,277,211,AARE GANGADHAR,BC,79,0,0
9,none,277,211,BINGI NARAYANA,BC,26,0,0
9,con,277,211,AARE RAJIREDDY,BC,47,4,0
10,trs,271,206,VEERLA SUJATHA,UR,116,0,0
10,con,271,206,MILKURI LAXMI,UR,90,6,1
11,none,272,208,KASARAPU MALLAVVA,BC,33,0,0
11,con,272,208,GOPU VENKATAMMA,BC,126,0,0
11,none,272,208,GADDI GANGAVVA,BC,49,11,7
12,con,292,235,DHARINENI SATHISH,BC,140,0,0
12,none,292,235,RENTEM GANGAREDDY,BC,39,0,0
12,trs,292,235,JAIRAM SURESH KUMAR,BC,56,6,1
13,none,238,183,MUTHYALA MAMATHA,BC,29,0,0
13,none,238,183,MELLA JAMUNA,BC,57,0,0
13,con,238,183,PADALA LATHA,BC,97,10,3
14,con,225,151,DHARINENI KRISHNA KUMAR,UR,82,0,0
14,trs,225,151,PUPPALA LACHANNA,UR,47,0,0
14,none,225,151,MOLANGIRI SRINIVAS,UR,22,4,2
